rand1 rand2 rand3 rand4 rand5 rand6 rand7 rand8 rand9 rand10 edge
0.0376452897657426 0.053724641074785966 0.08388526459253925 0.06219158640848241 0.028931622594275976 0.05770287838439914 0.03975462286954761 0.08096596218091766 0.05239305711415335 0.08713660452858327 KLF8_CDH1
0.07444012602710852 0.04762646363947817 0.003977161753742853 0.03448272210942043 0.07962819028156 0.09645047770601736 0.05963404447491908 0.057695136446995636 0.08038092858756589 0.019440239213667054 SNAI1_CDH1
0.05112737275367732 0.09061363085516777 0.08749635497797009 0.041260558748338685 0.054792101670273534 0.09014486466171903 0.005595274520430505 0.02305397926654721 0.051601607672309015 0.038285555453526576 SNAI2_CDH1
0.056849432503865927 0.05162142739030702 0.017712750053313176 0.025320848176547773 0.06747575387190038 0.07547660353665256 0.06422206753657693 0.09371143349600147 0.08299804975865473 0.06170544962263505 TCF3_CDH1
0.055421804239898134 0.017586211732512447 0.04219359038961386 0.055504860350065514 0.027535831677460966 0.07944786461415941 0.09513522742197483 0.0606145239696673 0.014380198965359326 0.06903465250914545 TWIST1_CDH1
0.03072144114426935 0.016236291978790087 0.017716046393508347 0.01430231722981229 0.04946317500826162 0.013553284271735834 0.013041432266809705 0.024032330182218523 0.05186560353760572 0.023992075638130064 TWIST2_CDH1
0.011447901723830135 0.004329883587305317 0.018927193609175465 0.05105377848085099 0.05353444681941732 0.05839203740533601 0.017498541833255055 0.0006529988279382116 0.01843643003348803 0.0226370435396699 ZEB1_CDH1
0.023175826889186915 0.028855032568994465 0.07669915401371581 0.05503425213030259 0.0668568202559534 0.08917707173368447 0.06531883371160148 0.05874572386871516 0.011128864332941569 0.028253960292090565 ZEB2_CDH1
0.03893609461012213 0.025110467954451012 0.023146299657285874 0.09412697756204794 0.014965502923172481 0.07744604699719804 0.03609678498889523 0.07930213618462688 0.0877030110017413 0.05990850108136138 miR9_CDH1
0.002964630224720455 0.04087799172856547 0.04496338416986834 0.04717596696486424 0.08507673778858421 0.06325088527053958 0.030195035526813376 0.08263894296975362 0.05724355132809772 0.09513793131693507 GSC_FOXC2
0.002791014852229479 0.009081818953349174 0.0955100898098015 0.06764642019301913 0.08740274791986646 0.07122751460137326 0.07946575629550878 0.012014197912558346 0.028618988922736878 0.08278289989358366 SNAI1_FOXC2
0.05614807190004182 0.03766986959015452 0.07771774485328051 0.08290655696279328 0.08966871454488022 0.03075642516927011 0.02517922353787927 0.05940320171689167 0.002154549788329263 0.015178787887109713 TWIST1_FOXC2
0.048275963501597574 0.023242034461920892 0.09485052444845155 0.009471747667932951 0.018331273212529833 0.04192339313703173 0.05062506337719254 0.003068094528842713 0.061758469603042 0.05802229677400651 TGFbeta_GSC
0.016820523871917625 0.07296876395163368 0.03589978183633922 0.018645003249954883 0.08539580851183023 0.006629344628698197 0.07643152895324147 0.05697598054304501 0.0709119331709492 0.057087837632756946 miR101_KLF8
0.018988480215771954 0.037456618785399756 0.04790091417302195 0.030749878592691418 0.012179883571202721 0.0696501385196031 0.019671539886875335 0.05734647175351146 0.07791695410844697 0.07952619656368767 GSC_SNAI1
0.010016174007257274 0.06383868736780828 0.045701018237151315 0.08496724341388857 0.08876813268830103 0.006799284048390631 0.06544144819151664 0.061361089480275 0.003193118181225796 0.09829936681829915 SNAI1_SNAI1
0.035741046877695595 0.07429275484105163 0.05310728900143873 0.0722207228927655 0.0757172301044348 0.021027546615590743 0.022935964031796097 0.07611970330990818 0.09620503628928462 0.004285125078930241 TGFbeta_SNAI1
0.0067574092868052495 0.08488733326962321 0.0003496519203321169 0.07516184652401364 0.06113817169588975 0.05086743447748285 0.05886934846364145 0.056280751090627794 0.06487587952725739 0.016768505101331165 TWIST1_SNAI1
0.0547981632536841 0.05200579951973666 0.010287060903735767 0.024742101586938292 0.03452761297563363 0.00807222079523955 0.01569535806956115 0.01620385791345973 0.021384763340449843 0.004008653287558861 TWIST2_SNAI1
0.012763543847349325 0.08070588273683031 0.08817927299612434 0.03918519664006195 0.052077080740372685 0.05936217155536584 0.03579751958626675 0.022275717224889725 0.02244524033131642 0.01178567351989075 miR101_SNAI1
0.025281190702848913 0.0070039848099106355 0.03305156999347674 0.023070607231109232 0.008424216913176463 0.01638056451840303 0.023796813804039786 0.07522186418201486 0.017399579917851928 0.07006852591341643 miR30c_SNAI1
0.013504735281170233 0.005894006662636265 0.00045927378434132974 0.09405549361236037 0.07915555886593197 0.033970952852703316 0.05581504776403017 0.07919603420944853 0.024249930180137536 0.06700397500562963 miR34a_SNAI1
0.003974691730637692 0.028380739508309483 0.09495543998062517 0.030244707034903697 0.09650994813060922 0.03564693488735741 0.04722999567723205 0.029480504033927102 0.0248965999516084 0.024132797928280415 SNAI1_SNAI2
0.06428836373552776 0.00806148080631557 0.09429541238779993 0.02560684999418407 0.02140458731738686 0.054332926178594754 0.0027397906515022608 0.09763450329380569 0.05642985138161254 0.06699078466445917 SNAI2_SNAI2
0.0787445893476576 0.05918950380718194 0.08186707801122368 0.09667468954820001 0.0868054431123863 0.008921785405277771 0.06735402440400232 0.09636854244974402 0.03376762540494649 0.05076662309511381 TGFbeta_SNAI2
